ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE
10332,38,84.25,11/17/2004 0:00
10344,40,56.91,11/25/2004 0:00
10367,45,100.0,1/12/2005 0:00
10379,27,49.3,2/10/2005 0:00
10407,42,72.65,4/22/2005 0:00
10420,36,63.57,5/29/2005 0:00
10104,29,100.0,1/31/2003 0:00
10114,39,100.0,4/1/2003 0:00
10127,45,100.0,6/3/2003 0:00
10141,47,100.0,8/1/2003 0:00
10151,49,100.0,9/21/2003 0:00
10165,46,100.0,10/22/2003 0:00
10175,48,100.0,11/6/2003 0:00
10184,46,100.0,11/14/2003 0:00
10195,35,100.0,11/25/2003 0:00
10207,43,100.0,12/9/2003 0:00
10229,26,100.0,3/11/2004 0:00
10246,22,98.18,5/5/2004 0:00
10259,34,99.41,6/15/2004 0:00
10271,50,100.0,7/20/2004 0:00
10281,48,100.0,8/19/2004 0:00
10292,41,100.0,9/8/2004 0:00
10305,36,100.0,10/13/2004 0:00
10313,29,100.0,10/22/2004 0:00
10324,33,37.48,11/5/2004 0:00
10334,46,100.0,11/19/2004 0:00
10349,38,100.0,12/1/2004 0:00
10358,20,36.42,12/10/2004 0:00
10370,22,100.0,1/20/2005 0:00
10383,27,100.0,2/22/2005 0:00
10412,56,98.18,5/3/2005 0:00
10425,38,99.41,5/31/2005 0:00
10101,25,100.0,1/9/2003 0:00
10110,33,100.0,3/18/2003 0:00
10124,42,100.0,5/21/2003 0:00
10149,33,100.0,9/12/2003 0:00
10162,38,100.0,10/18/2003 0:00
10173,31,100.0,11/5/2003 0:00
10182,20,100.0,11/12/2003 0:00
10193,44,100.0,11/21/2003 0:00
10204,26,100.0,12/2/2003 0:00
10214,27,100.0,1/26/2004 0:00
10227,46,100.0,3/2/2004 0:00
10243,47,100.0,4/26/2004 0:00
10280,37,100.0,8/17/2004 0:00
10288,31,100.0,9/1/2004 0:00
10304,24,100.0,10/11/2004 0:00
10312,31,100.0,10/21/2004 0:00
10322,50,100.0,11/4/2004 0:00
10332,35,64.69,11/17/2004 0:00
10344,30,100.0,11/25/2004 0:00
10356,29,100.0,12/9/2004 0:00
10367,27,100.0,1/12/2005 0:00
10380,40,100.0,2/16/2005 0:00
10390,31,98.99,3/4/2005 0:00
10409,6,100.0,4/23/2005 0:00
10420,45,100.0,5/29/2005 0:00
10103,22,54.09,1/29/2003 0:00
10114,45,68.67,4/1/2003 0:00
10126,43,65.02,5/28/2003 0:00
10140,46,61.99,7/24/2003 0:00
10151,39,69.28,9/21/2003 0:00
10165,31,71.1,10/22/2003 0:00
10175,41,69.28,11/6/2003 0:00
10184,44,60.16,11/14/2003 0:00
10194,45,70.49,11/25/2003 0:00
10207,37,69.89,12/9/2003 0:00
10217,35,61.38,2/4/2004 0:00
10229,28,59.55,3/11/2004 0:00
10246,30,61.99,5/5/2004 0:00
10259,30,49.22,6/15/2004 0:00
10271,25,69.28,7/20/2004 0:00
10281,29,57.73,8/19/2004 0:00
10291,26,57.73,9/8/2004 0:00
10305,41,53.48,10/13/2004 0:00
10313,34,52.87,10/22/2004 0:00
10322,35,61.21,11/4/2004 0:00
10334,34,61.38,11/19/2004 0:00
10347,50,100.0,11/29/2004 0:00
10357,41,61.99,12/10/2004 0:00
10370,22,96.86,1/20/2005 0:00
10381,35,48.62,2/17/2005 0:00
10391,44,38.5,3/9/2005 0:00
10412,47,61.99,5/3/2005 0:00
10425,19,49.22,5/31/2005 0:00
10106,34,90.39,2/17/2003 0:00
10120,29,71.81,4/29/2003 0:00
10133,49,69.27,6/27/2003 0:00
10145,30,85.32,8/25/2003 0:00
10168,21,70.96,10/28/2003 0:00
10210,50,76.88,1/12/2004 0:00
10223,47,100.0,2/20/2004 0:00
10235,24,76.03,4/2/2004 0:00
10250,27,98.84,5/11/2004 0:00
10263,33,86.17,6/28/2004 0:00
10275,35,90.39,7/23/2004 0:00
10284,31,71.81,8/21/2004 0:00
10297,25,82.79,9/16/2004 0:00
10308,27,82.79,10/15/2004 0:00
10318,31,100.0,11/2/2004 0:00
10327,45,100.0,11/10/2004 0:00
10339,27,100.0,11/23/2004 0:00
10353,27,100.0,12/4/2004 0:00
10374,42,69.27,2/2/2005 0:00
10386,21,74.77,3/1/2005 0:00
10398,34,76.88,3/30/2005 0:00
10401,42,76.03,4/3/2005 0:00
10416,15,98.84,5/10/2005 0:00
10107,29,70.87,2/24/2003 0:00
10120,46,58.15,4/29/2003 0:00
10134,30,61.78,7/1/2003 0:00
10145,30,49.67,8/25/2003 0:00
10159,42,51.48,10/10/2003 0:00
10168,46,61.18,10/28/2003 0:00
10180,25,64.2,11/11/2003 0:00
10188,32,65.42,11/18/2003 0:00
10201,30,64.81,12/1/2003 0:00
10210,40,49.67,1/12/2004 0:00
10223,28,60.57,2/20/2004 0:00
10236,23,55.72,4/3/2004 0:00
10251,29,61.18,5/18/2004 0:00
10263,34,58.75,6/28/2004 0:00
10275,37,63.6,7/23/2004 0:00
10285,20,49.06,8/27/2004 0:00
10298,32,48.46,9/27/2004 0:00
10308,34,52.09,10/15/2004 0:00
10318,42,52.7,11/2/2004 0:00
10329,38,100.0,11/15/2004 0:00
10339,30,62.16,11/23/2004 0:00
10362,23,49.67,1/5/2005 0:00
10374,22,53.3,2/2/2005 0:00
10389,39,100.0,3/3/2005 0:00
10402,55,55.72,4/7/2005 0:00
10417,36,61.18,5/13/2005 0:00
10101,26,100.0,1/9/2003 0:00
10110,31,100.0,3/18/2003 0:00
10125,34,100.0,5/21/2003 0:00
10139,41,100.0,7/16/2003 0:00
10149,23,100.0,9/12/2003 0:00
10162,48,100.0,10/18/2003 0:00
10173,22,100.0,11/5/2003 0:00
10182,21,100.0,11/12/2003 0:00
10193,22,100.0,11/21/2003 0:00
10205,40,100.0,12/3/2003 0:00
10214,50,100.0,1/26/2004 0:00
10227,29,100.0,3/2/2004 0:00
10244,43,100.0,4/29/2004 0:00
10255,24,100.0,6/4/2004 0:00
10280,22,100.0,8/17/2004 0:00
10289,43,100.0,9/3/2004 0:00
10304,20,100.0,10/11/2004 0:00
10312,25,100.0,10/21/2004 0:00
10322,36,100.0,11/4/2004 0:00
10332,24,52.67,11/17/2004 0:00
10347,21,100.0,11/29/2004 0:00
10356,30,100.0,12/9/2004 0:00
10367,32,94.79,1/12/2005 0:00
10380,21,47.18,2/16/2005 0:00
10390,26,78.11,3/4/2005 0:00
10421,35,100.0,5/29/2005 0:00
10109,26,100.0,3/10/2003 0:00
10123,46,100.0,5/20/2003 0:00
10137,37,100.0,7/10/2003 0:00
10148,27,100.0,9/11/2003 0:00
10161,23,100.0,10/17/2003 0:00
10172,39,100.0,11/5/2003 0:00
10181,27,100.0,11/12/2003 0:00
10192,38,100.0,11/20/2003 0:00
10204,27,100.0,12/2/2003 0:00
10212,40,100.0,1/16/2004 0:00
10226,24,100.0,2/26/2004 0:00
10241,44,100.0,4/13/2004 0:00
10253,37,100.0,6/1/2004 0:00
10266,20,100.0,7/6/2004 0:00
10278,39,100.0,8/6/2004 0:00
10287,44,100.0,8/30/2004 0:00
10301,22,100.0,10/5/2003 0:00
10311,43,100.0,10/16/2004 0:00
10321,27,100.0,11/4/2004 0:00
10331,26,64.9,11/17/2004 0:00
10343,25,52.32,11/24/2004 0:00
10366,49,100.0,1/10/2005 0:00
10379,29,100.0,2/10/2005 0:00
10407,41,100.0,4/22/2005 0:00
10419,55,100.0,5/17/2005 0:00
10103,27,83.07,1/29/2003 0:00
10112,23,100.0,3/24/2003 0:00
10126,31,90.17,5/28/2003 0:00
10139,46,100.0,7/16/2003 0:00
10150,47,91.18,9/19/2003 0:00
10163,31,100.0,10/20/2003 0:00
10174,46,100.0,11/6/2003 0:00
10183,37,89.15,11/13/2003 0:00
10193,28,93.21,11/21/2003 0:00
10206,37,90.17,12/5/2003 0:00
10215,49,100.0,1/29/2004 0:00
10228,24,100.0,3/10/2004 0:00
10244,30,100.0,4/29/2004 0:00
10257,50,88.14,6/14/2004 0:00
10270,31,96.24,7/19/2004 0:00
10280,46,100.0,8/17/2004 0:00
10291,47,100.0,9/8/2004 0:00
10304,46,100.0,10/11/2004 0:00
10312,37,100.0,10/21/2004 0:00
10322,33,100.0,11/4/2004 0:00
10333,31,90.17,11/18/2004 0:00
10347,48,100.0,11/29/2004 0:00
10357,41,87.13,12/10/2004 0:00
10369,42,100.0,1/20/2005 0:00
10381,41,100.0,2/17/2005 0:00
10391,32,45.25,3/9/2005 0:00
10423,10,88.14,5/30/2005 0:00
10103,35,57.46,1/29/2003 0:00
10111,28,64.33,3/25/2003 0:00
10126,46,73.7,5/28/2003 0:00
10139,20,71.2,7/16/2003 0:00
10150,30,49.97,9/19/2003 0:00
10163,48,69.96,10/20/2003 0:00
10173,28,53.72,11/5/2003 0:00
10183,39,68.08,11/13/2003 0:00
10193,24,51.84,11/21/2003 0:00
10206,28,67.46,12/5/2003 0:00
10215,31,58.71,1/29/2004 0:00
10228,45,63.71,3/10/2004 0:00
10244,24,58.09,4/29/2004 0:00
10257,49,53.72,6/14/2004 0:00
10269,32,63.08,7/16/2004 0:00
10280,43,68.71,8/17/2004 0:00
10291,37,50.59,9/8/2004 0:00
10304,24,64.96,10/11/2004 0:00
10312,35,53.72,10/21/2004 0:00
10322,41,29.87,11/4/2004 0:00
10332,26,100.0,11/17/2004 0:00
10347,34,64.96,11/29/2004 0:00
10357,49,70.58,12/10/2004 0:00
10369,28,44.21,1/20/2005 0:00
10381,40,68.08,2/17/2005 0:00
10392,37,59.96,3/10/2005 0:00
10423,31,53.72,5/30/2005 0:00
10106,41,83.44,2/17/2003 0:00
10119,21,89.46,4/28/2003 0:00
10130,40,96.34,6/16/2003 0:00
10143,46,74.84,8/10/2003 0:00
10155,44,79.14,10/6/2003 0:00
10167,46,73.12,10/23/2003 0:00
10178,41,81.72,11/8/2003 0:00
10186,32,89.46,11/14/2003 0:00
10197,46,87.74,11/26/2003 0:00
10209,28,100.0,1/9/2004 0:00
10222,49,94.62,2/19/2004 0:00
10248,21,73.98,5/7/2004 0:00
10262,32,84.3,6/24/2004 0:00
10273,34,98.06,7/21/2004 0:00
10283,21,98.06,8/20/2004 0:00
10296,21,96.34,9/15/2004 0:00
10307,31,83.44,10/14/2004 0:00
10316,21,94.62,11/1/2004 0:00
10327,25,45.86,11/10/2004 0:00
10338,28,82.58,11/22/2004 0:00
10350,43,64.97,12/2/2004 0:00
10373,22,86.74,1/31/2005 0:00
10386,37,93.01,3/1/2005 0:00
10398,28,72.26,3/30/2005 0:00
10400,30,74.84,4/1/2005 0:00
10414,44,73.98,5/6/2005 0:00
10103,25,100.0,1/29/2003 0:00
10111,43,100.0,3/25/2003 0:00
10126,30,97.39,5/28/2003 0:00
10139,20,90.06,7/16/2003 0:00
10150,26,100.0,9/19/2003 0:00
10163,40,100.0,10/20/2003 0:00
10173,31,89.01,11/5/2003 0:00
10183,22,100.0,11/13/2003 0:00
10193,23,100.0,11/21/2003 0:00
10206,30,100.0,12/5/2003 0:00
10215,49,100.0,1/29/2004 0:00
10228,31,100.0,3/10/2004 0:00
10244,29,100.0,4/29/2004 0:00
10257,37,84.82,6/14/2004 0:00
10270,38,100.0,7/19/2004 0:00
10280,29,100.0,8/17/2004 0:00
10291,23,100.0,9/8/2004 0:00
10304,26,85.87,10/11/2004 0:00
10312,38,100.0,10/21/2004 0:00
10322,48,47.04,11/4/2004 0:00
10332,40,39.8,11/17/2004 0:00
10347,45,100.0,11/29/2004 0:00
10357,44,100.0,12/10/2004 0:00
10369,21,94.22,1/20/2005 0:00
10381,35,100.0,2/17/2005 0:00
10392,29,86.92,3/10/2005 0:00
10423,21,84.82,5/30/2005 0:00
10105,22,100.0,2/11/2003 0:00
10117,26,100.0,4/16/2003 0:00
10128,41,100.0,6/6/2003 0:00
10142,47,100.0,8/8/2003 0:00
10153,31,100.0,9/28/2003 0:00
10166,43,100.0,10/21/2003 0:00
10177,23,100.0,11/7/2003 0:00
10185,28,100.0,11/14/2003 0:00
10196,49,100.0,11/26/2003 0:00
10208,24,100.0,1/2/2004 0:00
10221,33,100.0,2/18/2004 0:00
10232,22,100.0,3/20/2004 0:00
10248,32,100.0,5/7/2004 0:00
10273,40,100.0,7/21/2004 0:00
10282,43,100.0,8/20/2004 0:00
10293,24,100.0,9/9/2004 0:00
10306,32,100.0,10/14/2004 0:00
10314,20,100.0,10/22/2004 0:00
10325,24,69.12,11/5/2004 0:00
10336,48,100.0,11/20/2004 0:00
10350,44,100.0,12/2/2004 0:00
10372,28,100.0,1/26/2005 0:00
10383,24,61.52,2/22/2005 0:00
10396,33,100.0,3/23/2005 0:00
10414,41,100.0,5/6/2005 0:00
10104,23,100.0,1/31/2003 0:00
10109,46,100.0,3/10/2003 0:00
10114,48,100.0,4/1/2003 0:00
10122,25,100.0,5/8/2003 0:00
10127,22,100.0,6/3/2003 0:00
10136,41,100.0,7/4/2003 0:00
10141,34,100.0,8/1/2003 0:00
10148,32,100.0,9/11/2003 0:00
10151,21,100.0,9/21/2003 0:00
10160,20,100.0,10/11/2003 0:00
10165,47,100.0,10/22/2003 0:00
10171,39,100.0,11/5/2003 0:00
10175,29,100.0,11/6/2003 0:00
10181,45,100.0,11/12/2003 0:00
10184,28,100.0,11/14/2003 0:00
10192,26,100.0,11/20/2003 0:00
10195,50,100.0,11/25/2003 0:00
10203,48,100.0,12/2/2003 0:00
10207,25,100.0,12/9/2003 0:00
10212,40,100.0,1/16/2004 0:00
10225,43,100.0,2/22/2004 0:00
10229,22,100.0,3/11/2004 0:00
10239,47,100.0,4/12/2004 0:00
10246,36,100.0,5/5/2004 0:00
10253,40,100.0,6/1/2004 0:00
10259,27,100.0,6/15/2004 0:00
10266,29,100.0,7/6/2004 0:00
10271,20,100.0,7/20/2004 0:00
10278,42,100.0,8/6/2004 0:00
10281,25,100.0,8/19/2004 0:00
10287,36,100.0,8/30/2004 0:00
10292,21,100.0,9/8/2004 0:00
10301,23,100.0,10/5/2003 0:00
10305,37,100.0,10/13/2004 0:00
10310,48,100.0,10/16/2004 0:00
10313,25,100.0,10/22/2004 0:00
10321,33,100.0,11/4/2004 0:00
10324,27,100.0,11/5/2004 0:00
10331,27,100.0,11/17/2004 0:00
10334,20,100.0,11/19/2004 0:00
10342,30,100.0,11/24/2004 0:00
10349,48,100.0,12/1/2004 0:00
10358,32,93.49,12/10/2004 0:00
10366,34,100.0,1/10/2005 0:00
10370,27,56.85,1/20/2005 0:00
10377,39,100.0,2/9/2005 0:00
10383,47,100.0,2/22/2005 0:00
10394,22,100.0,3/15/2005 0:00
10405,55,100.0,4/14/2005 0:00
10412,60,100.0,5/3/2005 0:00
10419,35,100.0,5/17/2005 0:00
10425,28,100.0,5/31/2005 0:00
10105,38,100.0,2/11/2003 0:00
10117,21,95.8,4/16/2003 0:00
10128,41,100.0,6/6/2003 0:00
10142,22,97.81,8/8/2003 0:00
10153,29,88.74,9/28/2003 0:00
10165,50,100.0,10/22/2003 0:00
10177,29,100.0,11/7/2003 0:00
10185,49,80.67,11/14/2003 0:00
10196,35,100.0,11/26/2003 0:00
10208,48,100.0,1/2/2004 0:00
10221,23,80.67,2/18/2004 0:00
10232,48,95.8,3/20/2004 0:00
10248,42,100.0,5/7/2004 0:00
10273,47,100.0,7/21/2004 0:00
10282,36,100.0,8/20/2004 0:00
10293,22,100.0,9/9/2004 0:00
10306,40,91.76,10/14/2004 0:00
10314,23,100.0,10/22/2004 0:00
10326,32,100.0,11/9/2004 0:00
10336,21,100.0,11/20/2004 0:00
10350,41,93.04,12/2/2004 0:00
10372,25,84.71,1/26/2005 0:00
10383,26,100.0,2/22/2005 0:00
10396,24,89.75,3/23/2005 0:00
10414,48,100.0,5/6/2005 0:00
10108,26,68.35,3/3/2003 0:00
10122,21,73.17,5/8/2003 0:00
10135,45,78.0,7/2/2003 0:00
10147,36,86.04,9/5/2003 0:00
10159,21,81.21,10/10/2003 0:00
10169,32,70.76,11/4/2003 0:00
10181,30,82.82,11/12/2003 0:00
10191,36,94.88,11/20/2003 0:00
10203,33,86.04,12/2/2003 0:00
10211,35,78.0,1/15/2004 0:00
10225,37,95.69,2/22/2004 0:00
10238,41,73.17,4/9/2004 0:00
10252,20,76.39,5/26/2004 0:00
10265,45,86.84,7/2/2004 0:00
10276,38,69.96,8/2/2004 0:00
10287,43,70.76,8/30/2004 0:00
10300,49,78.8,10/4/2003 0:00
10310,27,80.41,10/16/2004 0:00
10319,46,73.98,11/3/2004 0:00
10329,38,59.1,11/15/2004 0:00
10342,25,66.74,11/24/2004 0:00
10363,46,60.3,1/6/2005 0:00
10378,22,100.0,2/10/2005 0:00
10390,40,100.0,3/4/2005 0:00
10103,46,100.0,1/29/2003 0:00
10111,39,100.0,3/25/2003 0:00
10126,38,82.34,5/28/2003 0:00
10139,30,100.0,7/16/2003 0:00
10149,42,94.25,9/12/2003 0:00
10163,43,100.0,10/20/2003 0:00
10173,29,95.24,11/5/2003 0:00
10182,33,86.31,11/12/2003 0:00
10193,32,79.37,11/21/2003 0:00
10206,28,87.3,12/5/2003 0:00
10215,41,100.0,1/29/2004 0:00
10227,33,100.0,3/2/2004 0:00
10244,36,84.33,4/29/2004 0:00
10257,26,89.29,6/14/2004 0:00
10280,34,100.0,8/17/2004 0:00
10290,26,96.23,9/7/2004 0:00
10304,38,100.0,10/11/2004 0:00
10312,33,100.0,10/21/2004 0:00
10323,33,91.27,11/5/2004 0:00
10333,46,100.0,11/18/2004 0:00
10347,26,100.0,11/29/2004 0:00
10357,25,100.0,12/10/2004 0:00
10369,45,73.08,1/20/2005 0:00
10382,50,100.0,2/17/2005 0:00
10392,36,100.0,3/10/2005 0:00
10423,21,89.29,5/30/2005 0:00
10108,29,100.0,3/3/2003 0:00
10122,21,100.0,5/8/2003 0:00
10135,42,100.0,7/2/2003 0:00
10147,37,100.0,9/5/2003 0:00
10159,25,100.0,10/10/2003 0:00
10169,36,100.0,11/4/2003 0:00
10181,22,100.0,11/12/2003 0:00
10191,23,100.0,11/20/2003 0:00
10203,32,100.0,12/2/2003 0:00
10211,28,100.0,1/15/2004 0:00
10225,27,100.0,2/22/2004 0:00
10238,49,100.0,4/9/2004 0:00
10252,41,100.0,5/26/2004 0:00
10265,49,100.0,7/2/2004 0:00
10276,30,100.0,8/2/2004 0:00
10287,40,100.0,8/30/2004 0:00
10300,23,100.0,10/4/2003 0:00
10310,49,100.0,10/16/2004 0:00
10320,25,100.0,11/3/2004 0:00
10330,37,100.0,11/16/2004 0:00
10342,55,100.0,11/24/2004 0:00
10355,23,100.0,12/7/2004 0:00
10363,24,100.0,1/6/2005 0:00
10378,43,96.49,2/10/2005 0:00
10390,50,100.0,3/4/2005 0:00
10109,47,100.0,3/10/2003 0:00
10123,34,100.0,5/20/2003 0:00
10137,31,100.0,7/10/2003 0:00
10148,28,100.0,9/11/2003 0:00
10161,36,100.0,10/17/2003 0:00
10172,48,100.0,11/5/2003 0:00
10181,39,100.0,11/12/2003 0:00
10192,45,100.0,11/20/2003 0:00
10204,35,100.0,12/2/2003 0:00
10212,45,100.0,1/16/2004 0:00
10226,46,100.0,2/26/2004 0:00
10240,37,100.0,4/13/2004 0:00
10253,31,100.0,6/1/2004 0:00
10266,33,100.0,7/6/2004 0:00
10278,31,100.0,8/6/2004 0:00
10287,27,100.0,8/30/2004 0:00
10301,39,100.0,10/5/2003 0:00
10311,32,100.0,10/16/2004 0:00
10321,28,100.0,11/4/2004 0:00
10331,26,67.91,11/17/2004 0:00
10343,44,84.88,11/24/2004 0:00
10367,46,100.0,1/12/2005 0:00
10379,32,70.83,2/10/2005 0:00
10406,65,100.0,4/15/2005 0:00
10419,43,100.0,5/17/2005 0:00
10108,43,67.77,3/3/2003 0:00
10122,35,49.74,5/8/2003 0:00
10135,45,50.36,7/2/2003 0:00
10146,47,67.14,9/3/2003 0:00
10159,21,64.66,10/10/2003 0:00
10169,38,68.39,11/4/2003 0:00
10180,21,50.36,11/11/2003 0:00
10191,43,72.74,11/20/2003 0:00
10211,46,54.09,1/15/2004 0:00
10224,38,58.44,2/21/2004 0:00
10237,26,52.22,4/5/2004 0:00
10252,31,52.84,5/26/2004 0:00
10264,48,54.71,6/30/2004 0:00
10276,33,50.36,8/2/2004 0:00
10286,38,57.2,8/28/2004 0:00
10299,39,55.95,9/30/2004 0:00
10310,42,67.14,10/16/2004 0:00
10319,44,59.06,11/3/2004 0:00
10330,29,69.63,11/16/2004 0:00
10342,26,55.95,11/24/2004 0:00
10355,31,53.47,12/7/2004 0:00
10363,32,89.12,1/6/2005 0:00
10378,28,100.0,2/10/2005 0:00
10390,36,100.0,3/4/2005 0:00
10403,36,52.22,4/8/2005 0:00
10106,41,100.0,2/17/2003 0:00
10119,27,99.52,4/28/2003 0:00
10130,33,100.0,6/16/2003 0:00
10143,34,100.0,8/10/2003 0:00
10155,29,100.0,10/6/2003 0:00
10167,34,100.0,10/23/2003 0:00
10178,48,100.0,11/8/2003 0:00
10186,46,100.0,11/14/2003 0:00
10197,22,100.0,11/26/2003 0:00
10209,20,100.0,1/9/2004 0:00
10222,45,85.75,2/19/2004 0:00
10249,46,100.0,5/8/2004 0:00
10262,34,100.0,6/24/2004 0:00
10273,50,85.75,7/21/2004 0:00
10283,46,100.0,8/20/2004 0:00
10296,22,84.7,9/15/2004 0:00
10307,48,86.81,10/14/2004 0:00
10316,47,86.81,11/1/2004 0:00
10328,34,100.0,11/12/2004 0:00
10338,45,100.0,11/22/2004 0:00
10351,20,100.0,12/3/2004 0:00
10373,50,60.49,1/31/2005 0:00
10386,22,57.55,3/1/2005 0:00
10398,45,100.0,3/30/2005 0:00
10400,58,100.0,4/1/2005 0:00
10415,51,100.0,5/9/2005 0:00
10104,38,100.0,1/31/2003 0:00
10117,22,100.0,4/16/2003 0:00
10127,25,100.0,6/3/2003 0:00
10142,24,100.0,8/8/2003 0:00
10152,35,100.0,9/25/2003 0:00
10165,28,100.0,10/22/2003 0:00
10176,36,100.0,11/6/2003 0:00
10185,39,100.0,11/14/2003 0:00
10196,27,100.0,11/26/2003 0:00
10207,40,100.0,12/9/2003 0:00
10220,50,100.0,2/12/2004 0:00
10230,42,100.0,3/15/2004 0:00
10247,48,100.0,5/5/2004 0:00
10272,25,100.0,7/20/2004 0:00
10282,31,100.0,8/20/2004 0:00
10292,44,100.0,9/8/2004 0:00
10306,23,100.0,10/14/2004 0:00
10314,29,100.0,10/22/2004 0:00
10324,49,100.0,11/5/2004 0:00
10337,36,100.0,11/21/2004 0:00
10349,34,100.0,12/1/2004 0:00
10358,25,100.0,12/10/2004 0:00
10372,48,100.0,1/26/2005 0:00
10383,38,100.0,2/22/2005 0:00
10394,37,100.0,3/15/2005 0:00
10413,49,100.0,5/5/2005 0:00
10100,22,86.51,1/6/2003 0:00
10110,28,89.27,3/18/2003 0:00
10124,36,85.59,5/21/2003 0:00
10148,34,100.0,9/11/2003 0:00
10162,39,100.0,10/18/2003 0:00
10173,21,75.46,11/5/2003 0:00
10182,36,100.0,11/12/2003 0:00
10193,24,97.55,11/21/2003 0:00
10204,29,85.59,12/2/2003 0:00
10213,38,94.79,1/22/2004 0:00
10227,34,100.0,3/2/2004 0:00
10241,42,90.19,4/13/2004 0:00
10280,35,100.0,8/17/2004 0:00
10288,35,80.99,9/1/2004 0:00
10302,38,89.27,10/6/2003 0:00
10311,41,81.91,10/16/2004 0:00
10332,50,100.0,11/17/2004 0:00
10344,21,100.0,11/25/2004 0:00
10367,43,62.72,1/12/2005 0:00
10380,32,100.0,2/16/2005 0:00
10407,6,90.19,4/22/2005 0:00
10420,66,92.95,5/29/2005 0:00
10105,41,82.5,2/11/2003 0:00
10117,23,97.42,4/16/2003 0:00
10128,43,92.16,6/6/2003 0:00
10142,24,70.22,8/8/2003 0:00
10153,22,83.38,9/28/2003 0:00
10166,26,73.73,10/21/2003 0:00
10177,35,74.6,11/7/2003 0:00
10185,47,77.24,11/14/2003 0:00
10197,50,100.0,11/26/2003 0:00
10208,45,87.77,1/2/2004 0:00
10221,39,89.53,2/18/2004 0:00
10232,23,89.53,3/20/2004 0:00
10248,42,75.48,5/7/2004 0:00
10261,20,89.53,6/17/2004 0:00
10273,33,71.09,7/21/2004 0:00
10283,34,100.0,8/20/2004 0:00
10293,49,100.0,9/9/2004 0:00
10306,39,90.4,10/14/2004 0:00
10315,36,100.0,10/29/2004 0:00
10326,50,86.01,11/9/2004 0:00
10337,29,100.0,11/21/2004 0:00
10350,30,100.0,12/2/2004 0:00
10372,41,86.89,1/26/2005 0:00
10383,28,58.58,2/22/2005 0:00
10396,45,100.0,3/23/2005 0:00
10414,16,75.48,5/6/2005 0:00
10103,36,100.0,1/29/2003 0:00
10114,41,100.0,4/1/2003 0:00
10126,50,100.0,5/28/2003 0:00
10140,40,100.0,7/24/2003 0:00
10150,49,100.0,9/19/2003 0:00
10164,45,100.0,10/21/2003 0:00
10175,47,100.0,11/6/2003 0:00
10183,21,100.0,11/13/2003 0:00
10194,32,100.0,11/25/2003 0:00
10207,47,100.0,12/9/2003 0:00
10217,38,100.0,2/4/2004 0:00
10229,41,100.0,3/11/2004 0:00
10245,21,100.0,5/4/2004 0:00
10259,41,100.0,6/15/2004 0:00
10270,38,100.0,7/19/2004 0:00
10281,25,99.29,8/19/2004 0:00
10291,48,100.0,9/8/2004 0:00
10305,22,99.29,10/13/2004 0:00
10313,28,100.0,10/22/2004 0:00
10323,47,100.0,11/5/2004 0:00
10334,49,100.0,11/19/2004 0:00
10347,45,100.0,11/29/2004 0:00
10357,28,100.0,12/10/2004 0:00
10370,29,57.53,1/20/2005 0:00
10382,39,100.0,2/17/2005 0:00
10411,46,100.0,5/1/2005 0:00
10425,38,100.0,5/31/2005 0:00
10103,41,47.29,1/29/2003 0:00
10113,50,49.81,3/26/2003 0:00
10126,43,53.83,5/28/2003 0:00
10140,29,43.27,7/24/2003 0:00
10150,30,42.76,9/19/2003 0:00
10164,25,53.83,10/21/2003 0:00
10174,49,44.78,11/6/2003 0:00
10183,40,49.3,11/13/2003 0:00
10194,41,44.78,11/25/2003 0:00
10206,21,53.33,12/5/2003 0:00
10215,46,45.28,1/29/2004 0:00
10229,39,40.25,3/11/2004 0:00
10245,45,59.87,5/4/2004 0:00
10258,21,59.87,6/15/2004 0:00
10270,44,58.36,7/19/2004 0:00
10281,44,59.87,8/19/2004 0:00
10291,29,51.82,9/8/2004 0:00
10304,34,49.3,10/11/2004 0:00
10312,39,56.85,10/21/2004 0:00
10324,38,100.0,11/5/2004 0:00
10333,24,79.86,11/18/2004 0:00
10348,29,100.0,11/1/2004 0:00
10358,30,100.0,12/10/2004 0:00
10370,20,100.0,1/20/2005 0:00
10382,39,100.0,2/17/2005 0:00
10411,35,59.87,5/1/2005 0:00
10424,26,59.87,5/31/2005 0:00
10108,44,100.0,3/3/2003 0:00
10122,28,100.0,5/8/2003 0:00
10135,31,100.0,7/2/2003 0:00
10146,29,100.0,9/3/2003 0:00
10159,32,100.0,10/10/2003 0:00
10169,33,100.0,11/4/2003 0:00
10180,44,100.0,11/11/2003 0:00
10191,32,100.0,11/20/2003 0:00
10211,41,100.0,1/15/2004 0:00
10225,35,100.0,2/22/2004 0:00
10238,44,100.0,4/9/2004 0:00
10252,26,100.0,5/26/2004 0:00
10264,20,100.0,6/30/2004 0:00
10276,48,100.0,8/2/2004 0:00
10287,34,100.0,8/30/2004 0:00
10299,49,100.0,9/30/2004 0:00
10310,40,100.0,10/16/2004 0:00
10319,45,100.0,11/3/2004 0:00
10330,50,100.0,11/16/2004 0:00
10342,38,100.0,11/24/2004 0:00
10355,25,100.0,12/7/2004 0:00
10363,28,58.18,1/6/2005 0:00
10378,49,67.14,2/10/2005 0:00
10390,49,100.0,3/4/2005 0:00
10110,42,61.29,3/18/2003 0:00
